START_DATE*,START_TIME,END_DATE*,END_TIME,CATEGORY*,TIME,START*,STOP*,MILES*,PURPOSE*
1-1-2016,12:00:00 AM,01-01-2016 21:17,09:17:00 PM,Business,09:17:00 PM,Fort Pierce,Fort Pierce,5.1,Meal/Entertain
1-2-2016,12:00:00 AM,01-02-2016 01:37,01:37:00 AM,Business,09:17:00 PM,Fort Pierce,Fort Pierce,5,
1-3-2016,12:00:00 AM,01-02-2016 20:38,08:38:00 PM,Business,01:37:00 AM,Fort Pierce,Fort Pierce,4.8,Errand/Supplies
1-4-2016,12:00:00 AM,01-05-2016 17:45,05:45:00 PM,Business,08:38:00 PM,Fort Pierce,Fort Pierce,4.7,Meeting
01-06-2016 14:42,02:42:00 PM,01-06-2016 15:49,03:49:00 PM,Business,05:45:00 PM,Fort Pierce,West Palm Beach,63.7,Customer Visit
01-06-2016 17:15,05:15:00 PM,01-06-2016 17:19,05:19:00 PM,Business,01:07:00 AM,West Palm Beach,West Palm Beach,4.3,Meal/Entertain
01-06-2016 17:30,05:30:00 PM,01-06-2016 17:35,05:35:00 PM,Business,12:04:00 AM,West Palm Beach,Palm Beach,7.1,Meeting
01-07-2016 13:27,01:27:00 PM,01-07-2016 13:33,01:33:00 PM,Business,12:05:00 AM,Cary,Cary,0.8,Meeting
01-10-2016 08:05,08:05:00 AM,01-10-2016 08:25,08:25:00 AM,Business,12:06:00 AM,Cary,Morrisville,8.3,Meeting
01-10-2016 12:17,12:17:00 PM,01-10-2016 12:44,12:44:00 PM,Business,12:20:00 AM,Jamaica,New York,16.5,Customer Visit
01-10-2016 15:08,03:08:00 PM,01-10-2016 15:51,03:51:00 PM,Business,12:27:00 AM,New York,Queens,10.8,Meeting
01-10-2016 18:18,06:18:00 PM,01-10-2016 18:53,06:53:00 PM,Business,12:43:00 AM,Elmhurst,New York,7.5,Meeting
01-10-2016 19:12,07:12:00 PM,01-10-2016 19:32,07:32:00 PM,Business,12:35:00 AM,Midtown,East Harlem,6.2,Meeting
01-11-2016 08:55,08:55:00 AM,01-11-2016 09:21,09:21:00 AM,Business,12:20:00 AM,East Harlem,NoMad,6.4,Temporary Site
01-11-2016 11:56,11:56:00 AM,01-11-2016 12:03,12:03:00 PM,Business,12:26:00 AM,Flatiron District,Midtown,1.6,Errand/Supplies
01-11-2016 13:32,01:32:00 PM,01-11-2016 13:46,01:46:00 PM,Business,12:07:00 AM,Midtown,Midtown East,1.7,Meal/Entertain
01-11-2016 14:30,02:30:00 PM,01-11-2016 14:43,02:43:00 PM,Business,12:14:00 AM,Midtown East,Midtown,1.9,Meal/Entertain
01-12-2016 12:33,12:33:00 PM,01-12-2016 12:49,12:49:00 PM,Business,12:13:00 AM,Midtown,Hudson Square,1.9,Meal/Entertain
